Prediction Name,QA Task,Retriever,Top-Retrieved Docs,Use_Postgen,Combination_Number,Rho,Tau,Best Single Signal,Best Single Rho,Best Single Tau,Number of Queries
GPP,dl,mt5,2,False,p023,0.4102146013044392,0.2843642611683849,spatial,0.3862,0.2865,97
GPP,dl,mt5,2,False,p123,0.3998527245949926,0.2740549828178695,avg(docQual),0.3464,0.2393,97
GPP,dl,mt5,2,False,p0123,0.4244687565747949,0.2938144329896908,spatial,0.3862,0.2865,97
GPP,dl,mt5,2,True,p0,0.5440774247843467,0.3934707903780069,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p1,0.5255102040816326,0.3805841924398626,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p2,0.5516515884704397,0.4054982817869416,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p01,0.5490742688828107,0.3973367697594502,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p02,0.5519671786240269,0.3994845360824743,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p03,0.5440774247843467,0.3934707903780069,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p12,0.5517173364191037,0.4050687285223368,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p13,0.5255102040816326,0.3805841924398626,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p23,0.5516515884704397,0.4054982817869416,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p012,0.5609614980012624,0.4076460481099657,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p013,0.5490742688828107,0.3973367697594502,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p023,0.5519671786240269,0.3994845360824743,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p123,0.5517173364191037,0.4050687285223368,prob(k),0.5298,0.3832,97
GPP,dl,mt5,2,True,p0123,0.5609614980012624,0.4076460481099657,prob(k),0.5298,0.3832,97
RPP,dl,mt5,2,False,p0,0.2673311592678308,0.186426116838488,bertQPP,0.2587,0.1761,97
RPP,dl,mt5,2,False,p1,0.0283636650536503,0.0184707903780068,itg(perpC),0.043,0.0335,97
RPP,dl,mt5,2,False,p2,0.1758757626762044,0.1224226804123711,avg(docQual),0.1869,0.1306,97
