qid,qpp_estimate,parameters,qpp_method
test_1449,1666.4072265625,{'k': 3},spatial
test_145,1543.26708984375,{'k': 3},spatial
test_1450,1636.1322021484375,{'k': 3},spatial
test_1451,1495.835693359375,{'k': 3},spatial
test_1452,1642.755126953125,{'k': 3},spatial
test_1453,1595.109619140625,{'k': 3},spatial
test_1454,1451.55224609375,{'k': 3},spatial
test_1455,1590.255126953125,{'k': 3},spatial
test_1456,1541.784423828125,{'k': 3},spatial
test_1457,1745.620361328125,{'k': 3},spatial
test_1458,1726.21875,{'k': 3},spatial
test_1459,1661.2708740234375,{'k': 3},spatial
test_146,1368.4444580078125,{'k': 3},spatial
test_1460,1488.2723388671875,{'k': 3},spatial
test_1461,1568.975341796875,{'k': 3},spatial
test_1462,1578.529052734375,{'k': 3},spatial
test_1463,1446.3511962890625,{'k': 3},spatial
test_1464,1471.3082275390625,{'k': 3},spatial
test_1465,1415.3564453125,{'k': 3},spatial
test_1466,1517.02685546875,{'k': 3},spatial
test_1467,1457.0570068359375,{'k': 3},spatial
test_1468,1667.15087890625,{'k': 3},spatial
test_1469,1520.7987060546875,{'k': 3},spatial
test_147,1532.365966796875,{'k': 3},spatial
test_1470,1772.0992431640625,{'k': 3},spatial
test_1471,1636.5877685546875,{'k': 3},spatial
test_1472,1611.6011962890625,{'k': 3},spatial
test_1473,1649.263427734375,{'k': 3},spatial
test_1474,1608.129638671875,{'k': 3},spatial
test_1475,1655.9423828125,{'k': 3},spatial
test_1476,1570.6346435546875,{'k': 3},spatial
test_1477,1509.223388671875,{'k': 3},spatial
test_1478,1309.597412109375,{'k': 3},spatial
test_1479,1497.43505859375,{'k': 3},spatial
test_148,1750.7166748046875,{'k': 3},spatial
test_1480,1425.9615478515625,{'k': 3},spatial
test_1481,1635.1705322265625,{'k': 3},spatial
test_1482,1462.330322265625,{'k': 3},spatial
test_1483,1476.733642578125,{'k': 3},spatial
test_1484,1705.96044921875,{'k': 3},spatial
test_1485,1450.882080078125,{'k': 3},spatial
test_1486,1560.4029541015625,{'k': 3},spatial
test_1487,1520.560791015625,{'k': 3},spatial
test_1488,1417.101318359375,{'k': 3},spatial
test_1489,1576.953125,{'k': 3},spatial
test_149,1348.3887939453125,{'k': 3},spatial
test_1490,1643.1494140625,{'k': 3},spatial
test_1491,1472.3685302734375,{'k': 3},spatial
test_1492,1555.107421875,{'k': 3},spatial
test_1493,1604.646728515625,{'k': 3},spatial
test_1494,1566.9659423828125,{'k': 3},spatial
test_1495,1611.1552734375,{'k': 3},spatial
test_1496,1739.125244140625,{'k': 3},spatial
test_1497,1583.98095703125,{'k': 3},spatial
test_1498,1521.822265625,{'k': 3},spatial
test_1499,1486.88037109375,{'k': 3},spatial
test_15,1435.3909912109375,{'k': 3},spatial
test_150,1413.551513671875,{'k': 3},spatial
test_1500,1531.68212890625,{'k': 3},spatial
test_1501,1512.59814453125,{'k': 3},spatial
test_1502,1645.912353515625,{'k': 3},spatial
test_1503,1547.593017578125,{'k': 3},spatial
test_1504,1587.843017578125,{'k': 3},spatial
test_1505,1642.090087890625,{'k': 3},spatial
test_1506,1400.466796875,{'k': 3},spatial
test_1507,1489.278076171875,{'k': 3},spatial
test_1508,1836.7882080078125,{'k': 3},spatial
test_1509,1488.44580078125,{'k': 3},spatial
test_151,1578.4283447265625,{'k': 3},spatial
test_1510,1669.536865234375,{'k': 3},spatial
test_1511,1794.228759765625,{'k': 3},spatial
test_1512,1677.48876953125,{'k': 3},spatial
test_1513,1520.9652099609375,{'k': 3},spatial
test_1514,1489.2197265625,{'k': 3},spatial
test_1515,1690.0352783203125,{'k': 3},spatial
test_1516,1491.2655029296875,{'k': 3},spatial
